HistoryID,UserID,DestinationID,VisitDate,ExperienceRating
1,2000,1,21/2/2024,4
2,660,1,15/1/2024,4
3,463,1,12/3/2024,5
4,541,2,1/3/2024,4
5,1457,2,21/1/2024,5
6,723,2,23/3/2024,4
7,1712,3,27/3/2024,5
8,1351,3,15/3/2024,3
9,1424,3,15/3/2024,5
10,154,4,28/3/2024,3
11,124,4,24/1/2024,5
12,27,4,3/1/2024,5
13,959,5,22/1/2024,3
14,385,5,22/2/2024,5
15,215,5,2/1/2024,5
16,428,6,28/3/2024,4
17,1560,6,30/1/2024,3
18,1053,6,7/2/2024,3
19,1558,7,2/1/2024,4
20,1452,7,4/3/2024,4
21,1343,7,29/2/2024,3
22,1737,8,21/1/2024,3
23,217,8,2/2/2024,3
24,449,8,16/3/2024,4
25,790,9,27/2/2024,4
26,1778,9,22/1/2024,5
27,1052,9,29/3/2024,4
28,1598,10,18/2/2024,5
29,385,10,31/3/2024,5
30,570,10,28/2/2024,4
31,337,11,11/2/2024,4
32,1949,11,29/2/2024,4
33,1328,11,20/3/2024,4
34,302,12,15/1/2024,3
35,1795,12,2/3/2024,4
36,1526,12,2/3/2024,5
37,493,13,16/2/2024,5
38,1832,13,2/3/2024,3
39,384,13,20/2/2024,3
40,59,14,24/2/2024,4
41,1356,14,4/3/2024,3
42,928,14,3/1/2024,4
43,544,15,20/2/2024,4
44,1899,15,7/1/2024,3
45,173,15,21/1/2024,3
46,884,16,13/3/2024,5
47,309,16,8/2/2024,3
48,1029,16,18/1/2024,3
49,1041,17,4/1/2024,3
50,109,17,29/3/2024,5
51,559,17,29/2/2024,4
52,201,18,14/1/2024,5
53,1329,18,9/1/2024,3
54,1500,18,30/3/2024,3
55,398,19,22/2/2024,3
56,388,19,2/1/2024,4
57,362,19,24/3/2024,5
58,566,20,29/2/2024,5
59,1245,20,11/3/2024,4
60,1063,20,13/2/2024,5
61,224,21,8/1/2024,4
62,1324,21,16/2/2024,4
63,1964,21,4/2/2024,5
64,450,22,18/3/2024,5
65,109,22,21/3/2024,4
66,1179,22,5/2/2024,5
67,489,23,19/2/2024,4
68,1090,23,4/1/2024,5
69,565,23,2/1/2024,5
70,1808,24,6/1/2024,5
71,1433,24,23/2/2024,5
72,803,24,4/1/2024,5
73,208,25,23/2/2024,3
74,1504,25,3/3/2024,3
75,1015,25,18/1/2024,5
76,351,26,30/3/2024,5
77,712,26,13/2/2024,5
78,1446,26,3/2/2024,4
79,590,27,14/3/2024,3
80,194,27,2/3/2024,4
81,1031,27,14/1/2024,3
82,977,28,17/2/2024,3
83,1747,28,15/1/2024,5
84,349,28,12/3/2024,5
85,1396,29,18/3/2024,4
86,342,29,27/3/2024,4
87,681,29,2/3/2024,5
88,291,30,9/2/2024,5
89,1365,30,25/3/2024,3
90,877,30,20/3/2024,3
91,43,31,22/3/2024,5
92,1996,31,22/2/2024,3
