DestinationID,Name,State,Type,Popularity,BestTimeToVisit
1,Taj Mahal,Uttar Pradesh,Historical,7.6179,Oct-Mar
2,Red Fort,Delhi,Historical,9.3525,Oct-Mar
3,Golden Temple,Punjab,Religious,8.694,Oct-Mar
4,Amer Fort,Rajasthan,Historical,8.2926,Oct-Mar
5,Hawa Mahal,Rajasthan,Historical,6.96,Oct-Mar
6,Humayun's Tomb,Delhi,Historical,6.9599,Oct-Mar
7,Qutub Minar,Delhi,Historical,6.6652,Oct-Mar
8,Mysore Palace,Karnataka,Historical,9.098,Oct-Mar
9,India Gate,Delhi,Historical,8.3,Oct-Mar
10,Gateway of India,Maharashtra,Historical,8.622,Oct-Mar
11,Ajanta Caves,Maharashtra,Historical,6.5523,Oct-Mar
12,Ellora Caves,Maharashtra,Historical,9.4103,Oct-Mar
13,Meenakshi Amman Temple,Tamil Nadu,Religious,8.9964,Oct-Mar
14,Konark Sun Temple,Odisha,Historical,7.1296,Oct-Mar
15,Jagannath Temple,Odisha,Religious,7.0377,Oct-Mar
16,Statue of Unity,Gujarat,Historical,7.0425,Oct-Mar
17,Hampi Monuments,Karnataka,Historical,7.4062,Oct-Mar
18,Brihadeeswara Temple,Tamil Nadu,Religious,8.0701,Oct-Mar
19,Charminar,Telangana,Historical,7.7907,Oct-Mar
20,Golconda Fort,Telangana,Historical,7.3671,Oct-Mar
21,Dal Lake,Jammu & Kashmir,Nature,8.3323,Jul-Sep
22,Pangong Lake,Ladakh,Nature,6.9103,Jul-Sep
23,Alleppey Backwaters,Kerala,Nature,7.3698,Jul-Sep
24,Munnar Tea Gardens,Kerala,Nature,7.5933,Jul-Sep
25,Kaziranga National Park,Assam,Nature,7.8633,Jul-Sep
26,Jim Corbett National Park,Uttarakhand,Nature,8.8541,Jul-Sep
27,Ranthambore National Park,Rajasthan,Nature,7.0914,Jul-Sep
28,Valley of Flowers,Uttarakhand,Nature,8.0384,Jul-Sep
29,Rohtang Pass,Himachal Pradesh,Adventure,8.2738,Apr-Jun
30,Badrinath Temple,Uttarakhand,Religious,6.6302,Oct-Mar
31,Kedarnath Temple,Uttarakhand,Religious,8.3193,Oct-Mar
32,Somnath Temple,Gujarat,Religious,7.0037,Oct-Mar
33,Dwarkadhish Temple,Gujarat,Religious,6.6862,Oct-Mar
34,Rani Ki Vav,Gujarat,Historical,9.347,Oct-Mar
35,Sanchi Stupa,Madhya Pradesh,Historical,9.3974,Oct-Mar
36,Khajuraho Temples,Madhya Pradesh,Historical,8.924,Oct-Mar
37,Victoria Memorial,West Bengal,Historical,7.4074,Oct-Mar
38,Cellular Jail,Andaman & Nicobar,Historical,6.7844,Oct-Mar
39,Mahabodhi Temple,Bihar,Religious,8.5502,Oct-Mar
40,Nalanda University Ruins,Bihar,Historical,7.8154,Oct-Mar
41,Sarnath Buddhist Site,Uttar Pradesh,Religious,6.8577,Oct-Mar
42,Kashi Vishwanath Temple,Uttar Pradesh,Religious,7.9811,Oct-Mar
43,Marina Beach,Tamil Nadu,Beach,6.5938,Mar-Jun
44,Ooty Lake,Tamil Nadu,Nature,9.2279,Jul-Sep
45,Kodaikanal Lake,Tamil Nadu,Nature,7.2694,Jul-Sep
46,Coorg Coffee Estates,Karnataka,Nature,8.4849,Jul-Sep
47,Jog Falls,Karnataka,Nature,7.4287,Jul-Sep
48,Shirdi Sai Baba Temple,Maharashtra,Religious,8.056,Oct-Mar
49,Elephanta Caves,Maharashtra,Historical,8.1362,Oct-Mar
50,Sabarmati Ashram,Gujarat,Historical,7.0468,Oct-Mar
51,Rann of Kutch,Gujarat,Nature,9.4093,Jul-Sep
52,Gir National Park,Gujarat,Nature,8.8239,Jul-Sep
53,Basilica of Bom Jesus,Goa,Religious,9.3187,Oct-Mar
54,Dudhsagar Falls,Goa,Nature,9.1842,Jul-Sep
55,Palolem Beach,Goa,Beach,8.2903,Mar-Jun
56,Tirumala Venkateswara,Andhra Pradesh,Religious,9.2656,Oct-Mar
57,Araku Valley,Andhra Pradesh,Nature,6.7567,Jul-Sep
58,Borra Caves,Andhra Pradesh,Nature,7.0803,Jul-Sep
59,Sundarbans National Park,West Bengal,Nature,6.6265,Jul-Sep
60,Darjeeling Railway,West Bengal,Historical,7.4697,Oct-Mar
61,Tawang Monastery,Arunachal Pradesh,Religious,7.6604,Oct-Mar
62,Living Root Bridges,Meghalaya,Nature,7.3072,Jul-Sep
63,Har Ki Pauri,Uttarakhand,Religious,8.9853,Oct-Mar
64,Lakshman Jhula,Uttarakhand,Historical,7.5643,Oct-Mar
65,Naini Lake,Uttarakhand,Nature,7.3361,Jul-Sep
66,Wagah Border,Punjab,Historical,8.1241,Oct-Mar
67,Jallianwala Bagh,Punjab,Historical,6.9146,Oct-Mar
68,Rock Garden,Chandigarh,Nature,8.9054,Jul-Sep
69,Fort Kochi,Kerala,Historical,6.7147,Oct-Mar
70,Varkala Cliff,Kerala,Beach,9.4614,Mar-Jun
71,Clive's House,Tamil Nadu,Historical,8.8152,Oct-Mar
72,King's Barracks,Tamil Nadu,Historical,7.0886,Oct-Mar
73,St. Mary's Church,Tamil Nadu,Religious,6.5069,Oct-Mar
74,Gingee Fort,Tamil Nadu,Historical,8.9453,Oct-Mar
75,Rajagiri Hill,Tamil Nadu,Historical,8.6183,Oct-Mar
76,Krishnagiri Fort,Tamil Nadu,Historical,8.685,Oct-Mar
77,Venkataramana Temple,Tamil Nadu,Religious,8.8123,Oct-Mar
